call_sign,frequency_khz,hours,status,city,state,country,facility_id,power_kw,directional,latitude,longitude,licensee
CIRS,530,Unlimited,CP,AULT STE MARIE,ON,CA,106054,0.05,False,46.516694,-84.350028,-
CFHS,530,Unlimited,CP,ORT FRANCES,ON,CA,106053,0.05,False,48.609667,-93.400139,-
CJFT,530,Unlimited,CP,ORT ERIE,ON,CA,106052,0.25,True,42.897833,-78.95725,-
CKHL,530,Daytime,CP,IGH LEVEL,AB,CA,106048,0.4,False,58.507861,-117.148028,-
CKHL,530,Daytime,CP,IGH LEVEL,AB,CA,106048,1.0,False,58.507861,-117.148028,-
NEW,530,Daytime,CP,URREY,BC,CA,106049,1.0,True,49.042333,-122.683222,-
NEW,530,Daytime,CP,ANCOUVER,BC,CA,106050,0.4,False,49.278444,-123.131583,-
CHLO,530,Daytime,CP,RAMPTON,ON,CA,106051,1.0,False,43.588056,-79.883889,-
CKHL,530,Nighttime,CP,IGH LEVEL,AB,CA,137080,0.25,False,58.507861,-117.148028,-
NEW,530,Nighttime,CP,URREY,BC,CA,106049,0.25,True,49.042333,-122.683222,-
CHLO,530,Nighttime,CP,RAMPTON,ON,CA,106051,0.25,False,43.588056,-79.883889,-
CBK,540,Unlimited,CP,ATROUS,SK,CA,106062,50.0,False,51.680028,-105.4475,-
WASG,540,Daytime,Licensed,DAPHNE,AL,US,51141,2.5,False,30.746028,-88.094167,ALABAMA RADIO CORPORATION
KVIP,540,Daytime,Licensed,EDDING,CA,US,51177,2.5,False,40.623472,-122.281389,PACIFIC CASCADE COMMUNICATIONS CORPORATION
KRXA,540,Daytime,Licensed,CARMEL VALLEY,CA,US,9849,10.0,True,36.659972,-121.542444,EL SEMBRADOR MINISTRIES
WFLF,540,Daytime,Licensed,PINE HILLS,FL,US,51970,50.0,True,28.481667,-81.66175,"IHM LICENSES, LLC"
WDAK,540,Daytime,Licensed,COLUMBUS,GA,US,60764,4.0,False,32.432917,-84.9505,"IHM LICENSES, LLC"
KWMT,540,Daytime,Licensed,FORT DODGE,IA,US,35891,5.0,True,42.495806,-94.209417,ALPHA 3E LICENSEE LLC
KMLB,540,Daytime,Licensed,ONROE,LA,US,35249,4.0,False,32.622083,-92.064306,"HOLLADAY BROADCASTING OF LOUISIANA, LLC"
WGOP,540,Daytime,Licensed,POCOMOKE CITY,MD,US,5347,0.5,False,38.053167,-75.569361,"THE WATERS GROUP, LLC"
WXYG,540,Daytime,Licensed,AUK RAPIDS,MN,US,161448,0.85,True,45.604972,-94.139444,HERBERT M. HOPPE REVOCABLE TRUST
WRGC,540,Daytime,Application,SYLVA,NC,US,73286,1.0,False,35.391917,-83.24875,"FIVE FORTY BROADCASTING COMPANY, LLC"
WETC,540,Daytime,CP,WENDELL-ZEBULON,NC,US,18269,10.0,True,35.869306,-78.431944,"DIVINE MERCY RADIO, INC."
WRGC,540,Daytime,Licensed,SYLVA,NC,US,73286,5.0,False,35.392056,-83.24875,"FIVE FORTY BROADCASTING COMPANY, LLC"
