call_sign,channel,virtual_channel,service_type,status,atsc3,city,state,country,facility_id,erp_kw,directional,haat_m,latitude,longitude,licensee
KBRO-LD,3,,LPD,Application,False,DENVER,CO,US,18475,3.0,False,1758.4,39.675333,-104.873361,18475           3. kW           - m  1758.4 m    68. m   N 39 40 31.20  W 104 52 24.10  1201368   ECHONET CORPORATION
WHBF-TV,4,4,DTV,Licensed,False,ROCK ISLAND,IL,US,13950,33.7,False,405.4,41.546889,-90.477167,13950         33.7 kW       405.4 m   609.7 m  406.7 m   N 41 32 48.80  W  90 28 37.80  1035417   NEXSTAR MEDIA INC.
KBKF-LD,6,,LPD,Application,False,SAN JOSE,CA,US,127882,3.0,True,1184.1,37.110806,-121.844667,"127882          3. kW DA        - m  1184.1 m   37.7 m   N 37 06 38.90  W 121 50 40.80  1056768   VENTURE TECHNOLOGIES GROUP, LLC"
KMCF-LD,6,,LPD,Licensed,False,VISALIA,CA,US,20560,3.0,True,1040.6,36.745889,-119.284,"20560           3. kW DA        - m  1040.6 m   18.6 m   N 36 44 45.20  W 119 17 02.40            COCOLA BROADCASTING COMPANIES, LLC"
KXDP-LD,6,,LPD,STA,False,DENVER,CO,US,67552,3.0,True,2536.0,39.913306,-105.293028,"67552           3. kW DA        - m   2536. m     6. m   N 39 54 47.90  W 105 17 34.90            SYNCOM MEDIA GROUP, INC."
WEYS-LD,6,31,LPD,CP,False,MIAMI,FL,US,6035,3.0,True,246.5,25.971111,-80.208611,"6035            3. kW DA        - m   246.5 m   245. m   N 25 58 16.00  W  80 12 31.00  1027529   ALMA VISION HISPANIC NETWORK, INC."
WTBS-LD,6,,LPD,CP,False,ATLANTA,GA,US,53584,3.0,True,428.1,34.041417,-84.226806,"53584           3. kW DA        - m   428.1 m    80. m   N 34 02 29.10  W  84 13 36.50  1240775   PRISM BROADCASTING NETWORK, INC."
WRME-LD,6,,LPD,Licensed,False,CHICAGO,IL,US,128239,3.0,True,564.0,41.898917,-87.623111,"128239          3. kW DA        - m    564. m  383.3 m   N 41 53 56.10  W  87 37 23.20  1009013   WLFM, LLC"
WPGF-LD,6,,LPD,Amendment,False,MEMPHIS,TN,US,23848,3.0,False,331.4,35.209528,-89.817056,23848           3. kW           - m   331.4 m   247. m   N 35 12 34.30  W  89 49 01.40  1249321   GEORGE FLINN
WDCN-LD,6,,LPD,Amendment,False,FAIRFAX,VA,US,20450,0.7,True,280.0,38.8745,-77.223222,20450          0.7 kW DA        - m    280. m  169.7 m   N 38 52 28.20  W  77 13 23.60  1017638   SIGNAL ABOVE LLC
WMTO-LD,6,,LPD,STA,False,NORFOLK,VA,US,127802,3.0,False,220.0,36.812222,-76.462222,"127802          3. kW           - m    220. m  213.3 m   N 36 48 44.00  W  76 27 44.00  1018292   SYNCOM MEDIA GROUP,INC."
KRON-TV,7,4,DTV,Licensed,False,SAN FRANCISCO,CA,US,65526,50.0,True,507.2,37.755278,-122.452778,65526          50. kW DA    507.2 m   531.6 m  277.4 m   N 37 45 19.00  W 122 27 10.00  1001289   NEXSTAR MEDIA INC.
